runtime_seconds,348.20346300001256
runtime_display,5 min 48.2 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
400.0,0.6000000000000001,True,0.936,4.677193341587895,0.7273543680000001,2.9030077414258217e+18
425.0,0.6000000000000001,True,0.946,4.549707412269818,0.6999529680000001,2.5813606653971973e+18
450.0,0.6000000000000001,True,0.962,1.58110814349412,0.678279264,2.7970390554496077e+18
475.0,0.6000000000000001,True,0.942,0.2964879916228611,0.6673504800000001,2.7936892191897226e+18
500.0,0.6000000000000001,True,0.914,-0.6568446351057773,0.6876936,2.8768107691361065e+18
525.0,0.6000000000000001,True,0.93,-1.5730819464866066,0.7031878800000001,2.9523790054455547e+18
550.0,0.6000000000000001,True,0.932,-2.11055701281564,0.691678208,2.8426940850968837e+18
575.0,0.6000000000000001,True,0.932,-3.52733765191158,0.686429184,2.998819460277789e+18
600.0,0.6000000000000001,True,0.928,-4.570913942393984,0.6293621760000001,2.856883537946305e+18
625.0,0.6000000000000001,True,0.906,-4.6957657736875476,0.6599448960000001,2.863628808181167e+18
650.0,0.6000000000000001,True,0.91,-5.428873144149305,0.659022,2.9136978370885176e+18
675.0,0.6000000000000001,True,0.918,-5.863574071377339,0.6200429040000001,2.721506631273395e+18
700.0,0.6000000000000001,True,0.904,-6.767636157091692,0.651451328,3.0013769390791404e+18
725.0,0.6000000000000001,True,0.92,-7.119477300939089,0.63474112,2.9000862325390495e+18
750.0,0.6000000000000001,True,0.904,-8.559760823452711,0.636936704,3.3169870358724285e+18
775.0,0.6000000000000001,True,0.946,-8.244789611061805,0.68180112,3.2577143308638776e+18
800.0,0.6000000000000001,True,0.898,-9.362549417478471,0.635036864,3.3737541149347087e+18
100.0,0.7000000000000001,True,1.0,45.77482882659801,0.998,8.763900567760298e+18
125.0,0.7000000000000001,True,1.0,41.465784326887466,0.994,6.944733369912497e+18
150.0,0.7000000000000001,True,1.0,32.327763579638464,0.992,6.741821466772134e+18
175.0,0.7000000000000001,True,1.0,31.355965120742027,0.976044,5.437905996490333e+18
200.0,0.7000000000000001,True,0.998,23.40646210119639,0.984051952,5.800172144265101e+18
225.0,0.7000000000000001,True,0.994,21.33899010976527,0.950347496,5.072836331897679e+18
250.0,0.7000000000000001,True,0.994,18.386156614193183,0.9386342,4.801510647863641e+18
275.0,0.7000000000000001,True,0.986,16.640006309938116,0.906086672,4.326646494861923e+18
300.0,0.7000000000000001,True,0.982,14.431606743719733,0.885591168,4.0914681018851374e+18
325.0,0.7000000000000001,True,0.978,12.444794588012606,0.855257088,3.8473061316524585e+18
350.0,0.7000000000000001,True,0.978,10.972372458168671,0.840673152,3.643294998489952e+18
375.0,0.7000000000000001,True,0.982,8.64715434181337,0.82187508,3.6256456242716216e+18
400.0,0.7000000000000001,True,0.96,7.936238319795315,0.79723008,3.328877079237306e+18
425.0,0.7000000000000001,True,0.948,7.11187517106546,0.749519136,3.00132402534391e+18
450.0,0.7000000000000001,True,0.93,4.995980665726911,0.7238376,3.0175651477434045e+18
475.0,0.7000000000000001,True,0.956,4.3864758747128185,0.719822112,2.883216537780725e+18
500.0,0.7000000000000001,True,0.946,4.474238482541171,0.6932288,2.5676764238772854e+18
525.0,0.7000000000000001,True,0.936,1.7883703418336943,0.6774655680000001,2.7877259471011154e+18
550.0,0.7000000000000001,True,0.936,0.7462423817376553,0.6616097280000001,2.743684412003463e+18
575.0,0.7000000000000001,True,0.944,0.19985992679997722,0.668038592,2.708316871692796e+18
600.0,0.7000000000000001,True,0.94,-0.4537997240588645,0.7020446399999999,2.816395201581657e+18
625.0,0.7000000000000001,True,0.938,-2.129230791296955,0.6927842879999999,3.0021321044483625e+18
650.0,0.7000000000000001,True,0.93,-3.247968298657444,0.65162496,2.945106294764368e+18
675.0,0.7000000000000001,True,0.946,-3.425526699780047,0.68108216,2.9672707305578885e+18
700.0,0.7000000000000001,True,0.934,-4.283135957614194,0.66956592,3.0030281203566986e+18
