runtime_seconds,419.3644915999612
runtime_display,6 min 59.4 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
425.0,0.6000000000000001,True,0.708,4.049799375783994,0.50916528,1.9366043545156434e+18
450.0,0.6000000000000001,True,0.668,1.6422789220383187,0.44488800000000006,1.8268244211628278e+18
475.0,0.6000000000000001,True,0.652,-0.038846778287588535,0.45958176000000006,1.972603504847449e+18
500.0,0.6000000000000001,True,0.666,0.8513165984567017,0.4423572,1.65340851550579e+18
525.0,0.6000000000000001,True,0.678,-1.2587097129393925,0.466374504,1.9090414459840015e+18
550.0,0.6000000000000001,True,0.654,-3.8301499700533306,0.46527129600000006,2.22519734394374e+18
575.0,0.6000000000000001,True,0.652,-2.2429237572866434,0.436188,1.7026163517944573e+18
600.0,0.6000000000000001,True,0.634,-3.4634241777167993,0.41592935999999997,1.701584018447973e+18
625.0,0.6000000000000001,True,0.618,-5.110606125213046,0.430493856,1.9466052205131896e+18
650.0,0.6000000000000001,True,0.622,-5.308858242993814,0.40604159999999995,1.773256310148994e+18
675.0,0.6000000000000001,True,0.6,-6.9053950204868055,0.4112903999999999,2.0249162153740698e+18
700.0,0.6000000000000001,True,0.63,-7.183187230332788,0.4398105600000001,2.1256429222711132e+18
725.0,0.6000000000000001,True,0.596,-7.903696955809242,0.39871208,2.0016812213646884e+18
750.0,0.6000000000000001,True,0.592,-8.260319412907263,0.40371558399999996,2.0225126523158671e+18
775.0,0.6000000000000001,True,0.63,-7.565288569463574,0.44207856,1.941541972893098e+18
800.0,0.6000000000000001,True,0.568,-8.305536287306083,0.36604646399999996,1.687083483321846e+18
100.0,0.7000000000000001,True,0.978,74.73059686550185,0.854772,4.342815378212283e+18
125.0,0.7000000000000001,True,0.952,55.2960700673477,0.832048,4.2875505192388526e+18
150.0,0.7000000000000001,True,0.946,42.07389218759443,0.8078839999999999,4.249612952816504e+18
175.0,0.7000000000000001,True,0.924,41.05464678466012,0.77616,3.3359675326215526e+18
200.0,0.7000000000000001,True,0.938,31.253856506054525,0.7672839999999999,3.524688645318193e+18
225.0,0.7000000000000001,True,0.9,26.371138500981395,0.7544879999999999,3.389915780790169e+18
250.0,0.7000000000000001,True,0.886,23.85646458776879,0.7027858320000001,2.9438524439364956e+18
275.0,0.7000000000000001,True,0.866,20.481341621980945,0.681063968,2.800403029103946e+18
300.0,0.7000000000000001,True,0.852,19.580294748571696,0.642302352,2.407702387749382e+18
325.0,0.7000000000000001,True,0.81,16.57763000511138,0.65300256,2.453969417017804e+18
350.0,0.7000000000000001,True,0.798,10.914984216272089,0.6127682400000001,2.6630024958700703e+18
375.0,0.7000000000000001,True,0.8,10.852776879319503,0.5753152,2.2707338464334815e+18
400.0,0.7000000000000001,True,0.764,8.789952508612405,0.5661240000000001,2.2595196189845786e+18
425.0,0.7000000000000001,True,0.732,5.072083320903115,0.520738944,2.3447898109406817e+18
450.0,0.7000000000000001,True,0.696,4.820076120130306,0.52208352,2.19966278451774e+18
475.0,0.7000000000000001,True,0.708,5.297267268016231,0.474722496,1.7997204108239708e+18
500.0,0.7000000000000001,True,0.714,4.980613835701693,0.49619001599999996,1.7822590983218232e+18
525.0,0.7000000000000001,True,0.672,2.04230160078081,0.4439232,1.7952395381946867e+18
550.0,0.7000000000000001,True,0.668,0.41799410319870844,0.45927404800000005,1.950714622475449e+18
575.0,0.7000000000000001,True,0.67,1.497762386759252,0.45413672,1.6769387157863048e+18
600.0,0.7000000000000001,True,0.672,-0.5441703316800144,0.47279232000000004,1.909933140187846e+18
625.0,0.7000000000000001,True,0.656,-1.7103127405475718,0.45758886400000004,1.9151935314430976e+18
650.0,0.7000000000000001,True,0.66,-5.221066336273108,0.44588544,2.4319975515858514e+18
675.0,0.7000000000000001,True,0.656,-3.7248731605924057,0.43312793600000005,1.9393084759158034e+18
700.0,0.7000000000000001,True,0.632,-4.646632671433666,0.4178784,1.9411512026659108e+18
725.0,0.7000000000000001,True,0.654,-4.385916190855257,0.453847224,1.957805829785284e+18
750.0,0.7000000000000001,True,0.634,-5.405497756400832,0.4443072,2.0235771102637222e+18
775.0,0.7000000000000001,True,0.662,-5.829030132377264,0.44557896,2.026965680811345e+18
800.0,0.7000000000000001,True,0.642,-5.591135990108837,0.43577676000000004,1.850591060415688e+18
100.0,0.8,True,0.978,83.64777549358404,0.8802,4.774037173302665e+18
125.0,0.8,True,0.964,64.60920881709775,0.840608,4.442979629400845e+18
150.0,0.8,True,0.956,48.79096901402448,0.852752,4.697614374334317e+18
175.0,0.8,True,0.94,40.85675155605527,0.81404,4.2955537596715894e+18
200.0,0.8,True,0.936,42.49343630856782,0.7846675200000001,3.2709690011806817e+18
225.0,0.8,True,0.926,32.24090628944894,0.771039456,3.539620316988817e+18
250.0,0.8,True,0.9,26.604059097042715,0.7383204,3.449376822007079e+18
275.0,0.8,True,0.898,24.880734308284282,0.72447048,3.1176952689823427e+18
300.0,0.8,True,0.852,21.009193936334242,0.6978357119999999,3.0304078961694295e+18
325.0,0.8,True,0.852,17.10869804941315,0.6981219839999999,3.136774251922596e+18
350.0,0.8,True,0.852,16.130767145457455,0.638274096,2.682305468457963e+18
375.0,0.8,True,0.792,16.596347175145354,0.6069571200000001,2.2656409992786977e+18
400.0,0.8,True,0.808,15.091531233394122,0.5858904960000001,2.123082485041563e+18
425.0,0.8,True,0.786,9.200485956285675,0.5819166720000001,2.547024342513982e+18
450.0,0.8,True,0.774,9.851508973052887,0.5647104,2.2038653598478856e+18
475.0,0.8,True,0.722,7.156116138817573,0.52703112,2.1948171136855913e+18
500.0,0.8,True,0.724,8.481876868940795,0.537422304,1.937216582104991e+18
525.0,0.8,True,0.698,4.779744653522457,0.504815936,2.0925493513164739e+18
550.0,0.8,True,0.68,5.787139017040758,0.47454208000000003,1.7349994944972844e+18
575.0,0.8,True,0.676,5.322607226480333,0.49608936000000015,1.7506755436312932e+18
600.0,0.8,True,0.692,2.9970902940500856,0.45815105599999995,1.759582609731141e+18
625.0,0.8,True,0.698,2.695133081223535,0.4721272,1.746604118804492e+18
650.0,0.8,True,0.682,0.2170179514779953,0.489640536,2.0393611046167212e+18
675.0,0.8,True,0.66,-0.279595133667236,0.46042920000000004,1.888401388434041e+18
700.0,0.8,True,0.682,-1.2571241235762258,0.4689432,1.97318916670509e+18
725.0,0.8,True,0.66,-1.688327850309438,0.4611050400000001,1.9135088561967772e+18
750.0,0.8,True,0.646,-3.35419969327841,0.43314300000000006,1.9787117782171927e+18
775.0,0.8,True,0.654,-2.874819508882208,0.434261232,1.8168008582681777e+18
800.0,0.8,True,0.636,-4.37401944000379,0.437222016,2.0086766517424428e+18
100.0,0.9,True,0.982,95.99284632496459,0.860232,4.70264266541614e+18
125.0,0.9,True,0.976,66.33079150341176,0.843264,5.160015592819011e+18
150.0,0.9,True,0.978,58.873113641270905,0.848904,4.5451230151314345e+18
175.0,0.9,True,0.958,52.9449674439862,0.8296279999999999,3.9806660569158236e+18
200.0,0.9,True,0.948,43.89171914056484,0.828552,3.986796365745017e+18
225.0,0.9,True,0.932,41.040328124899865,0.8052480000000001,3.492442622478997e+18
250.0,0.9,True,0.942,30.66230167643718,0.7899913439999999,3.885573516590887e+18
275.0,0.9,True,0.91,26.488852277925915,0.74834032,3.6450844388047355e+18
300.0,0.9,True,0.9,26.409368174012542,0.7401167999999999,3.1855931576757473e+18
325.0,0.9,True,0.868,22.282919270244115,0.698538624,3.079195678164718e+18
350.0,0.9,True,0.866,19.042905177293683,0.6793527520000001,3.0326879367092306e+18
375.0,0.9,True,0.862,16.854377558026997,0.681645464,3.004300740526321e+18
400.0,0.9,True,0.838,15.510349805181683,0.6584166,2.7967331033851996e+18
425.0,0.9,True,0.802,13.94878943017602,0.601153536,2.504581481462958e+18
450.0,0.9,True,0.81,11.895449026673209,0.6008256000000001,2.533336254619708e+18
475.0,0.9,True,0.794,14.352699912454838,0.6066096480000001,2.1186555128277066e+18
500.0,0.9,True,0.794,9.837306107686402,0.567446392,2.2763005647712108e+18
525.0,0.9,True,0.732,8.16747074931239,0.540233568,2.2048368818304998e+18
550.0,0.9,True,0.736,6.132867007302643,0.5283037439999999,2.2592341809597148e+18
575.0,0.9,True,0.704,5.9628476815891105,0.5278760960000001,2.1411183433671255e+18
600.0,0.9,True,0.712,2.9553246408929894,0.51204192,2.352986563886824e+18
625.0,0.9,True,0.712,4.699871323830891,0.498194944,1.9369598663089172e+18
650.0,0.9,True,0.7,3.238778222609966,0.4924416,1.9858936761525064e+18
675.0,0.9,True,0.678,4.538753771696239,0.49062792000000005,1.7298461578943708e+18
700.0,0.9,True,0.692,2.3173699974626025,0.46171347199999996,1.7841839708823283e+18
725.0,0.9,True,0.69,0.8683953991539717,0.44583659999999997,1.8146527456877097e+18
750.0,0.9,True,0.662,1.4932653919705672,0.4543968000000001,1.6881798225375224e+18
775.0,0.9,True,0.674,-0.23027544879800033,0.48108772000000005,1.9362486588966623e+18
800.0,0.9,True,0.662,-1.3248219779186066,0.468447088,1.9654913198380032e+18
100.0,1.0,True,0.99,109.05303799484886,0.87714,4.78548542309067e+18
125.0,1.0,True,0.98,91.53060366040891,0.8623999999999999,4.2091067689721964e+18
150.0,1.0,True,0.966,66.98589357062784,0.8442839999999999,4.571219668382054e+18
175.0,1.0,True,0.968,57.192092468046425,0.83248,4.29750282295215e+18
200.0,1.0,True,0.97,53.30883056246937,0.82838,3.798416186304634e+18
225.0,1.0,True,0.954,45.2169465909155,0.8395199999999999,3.861459680840405e+18
250.0,1.0,True,0.922,37.81768622700196,0.768948,3.63330886376315e+18
275.0,1.0,True,0.93,32.70130882058126,0.78335016,3.702471766764566e+18
300.0,1.0,True,0.898,32.58021631779231,0.742056912,3.1019759698534513e+18
325.0,1.0,True,0.9,25.096131972303233,0.7419131999999999,3.477560584607819e+18
350.0,1.0,True,0.9,23.793781853617283,0.738,3.2480259867762954e+18
375.0,1.0,True,0.856,20.687487624683406,0.678304672,3.0184793585487616e+18
400.0,1.0,True,0.876,20.260043149994303,0.693455616,2.8577631271146363e+18
425.0,1.0,True,0.858,18.929636274269846,0.67435368,2.679721412423878e+18
450.0,1.0,True,0.854,15.263698176934888,0.622566,2.6446447457741773e+18
475.0,1.0,True,0.786,14.714304790796312,0.620569008,2.498940741045102e+18
500.0,1.0,True,0.814,13.807234456323243,0.626688832,2.441281751988413e+18
525.0,1.0,True,0.804,13.971863347212526,0.6173755200000001,2.2280414448721085e+18
550.0,1.0,True,0.796,11.002901949717408,0.575641728,2.2312237952758277e+18
575.0,1.0,True,0.772,7.642816450157415,0.567994368,2.4560884027924577e+18
600.0,1.0,True,0.742,8.876273838197498,0.5512318,2.1027994777173197e+18
625.0,1.0,True,0.73,8.299469350130202,0.5187672,1.926214508421263e+18
650.0,1.0,True,0.71,7.610988583716768,0.5252068799999999,1.9154239079293757e+18
